city, report_records
基隆市, 0
臺北市, 0
新北市, 148
宜蘭縣, 175
新竹市, 30
新竹縣, 325
桃園市, 718
苗栗縣, 175
臺中市, 1029
彰化縣, 2294
南投縣, 138
嘉義市, 7
嘉義縣, 218
雲林縣, 199
臺南市, 752
高雄市, 366
屏東縣, 314
臺東縣, 22
花蓮縣, 111
金門縣, 0
連江縣, 0
澎湖縣, 0
