city, report_records
基隆市, 0
臺北市, 0
新北市, 146
宜蘭縣, 175
新竹市, 30
新竹縣, 323
桃園市, 658
苗栗縣, 171
臺中市, 1022
彰化縣, 2262
南投縣, 131
嘉義市, 7
嘉義縣, 216
雲林縣, 192
臺南市, 713
高雄市, 349
屏東縣, 302
臺東縣, 22
花蓮縣, 108
金門縣, 0
連江縣, 0
澎湖縣, 0
