city, report_records
基隆市, 0
臺北市, 0
新北市, 154
宜蘭縣, 177
新竹市, 34
新竹縣, 358
桃園市, 723
苗栗縣, 179
臺中市, 1038
彰化縣, 2322
南投縣, 140
嘉義市, 7
嘉義縣, 224
雲林縣, 215
臺南市, 758
高雄市, 370
屏東縣, 322
臺東縣, 22
花蓮縣, 111
金門縣, 0
連江縣, 0
澎湖縣, 0
