city, report_records
基隆市, 0
臺北市, 0
新北市, 61
宜蘭縣, 83
新竹市, 6
新竹縣, 128
桃園市, 212
苗栗縣, 75
臺中市, 434
彰化縣, 675
南投縣, 37
嘉義市, 0
嘉義縣, 87
雲林縣, 45
臺南市, 243
高雄市, 131
屏東縣, 100
臺東縣, 10
花蓮縣, 87
金門縣, 0
連江縣, 0
澎湖縣, 0
