city, report_records
基隆市, 0
臺北市, 0
新北市, 59
宜蘭縣, 79
新竹市, 5
新竹縣, 125
桃園市, 202
苗栗縣, 63
臺中市, 417
彰化縣, 595
南投縣, 37
嘉義市, 0
嘉義縣, 87
雲林縣, 45
臺南市, 240
高雄市, 113
屏東縣, 99
臺東縣, 10
花蓮縣, 84
金門縣, 0
連江縣, 0
澎湖縣, 0
