city, report_records
基隆市, 0
臺北市, 0
新北市, 131
宜蘭縣, 171
新竹市, 27
新竹縣, 280
桃園市, 571
苗栗縣, 143
臺中市, 894
彰化縣, 1968
南投縣, 112
嘉義市, 7
嘉義縣, 184
雲林縣, 165
臺南市, 598
高雄市, 309
屏東縣, 256
臺東縣, 22
花蓮縣, 103
金門縣, 0
連江縣, 0
澎湖縣, 0
