city, report_records
基隆市, 0
臺北市, 0
新北市, 53
宜蘭縣, 8
新竹市, 4
新竹縣, 94
桃園市, 172
苗栗縣, 59
臺中市, 256
彰化縣, 344
南投縣, 27
嘉義市, 0
嘉義縣, 68
雲林縣, 18
臺南市, 188
高雄市, 60
屏東縣, 87
臺東縣, 10
花蓮縣, 83
金門縣, 0
連江縣, 0
澎湖縣, 0
