city, report_records
基隆市, 0
臺北市, 0
新北市, 165
宜蘭縣, 178
新竹市, 34
新竹縣, 397
桃園市, 787
苗栗縣, 216
臺中市, 1103
彰化縣, 2504
南投縣, 160
嘉義市, 7
嘉義縣, 239
雲林縣, 233
臺南市, 848
高雄市, 406
屏東縣, 347
臺東縣, 24
花蓮縣, 114
金門縣, 1
連江縣, 0
澎湖縣, 0
