city, report_records
基隆市, 0
臺北市, 0
新北市, 122
宜蘭縣, 170
新竹市, 26
新竹縣, 279
桃園市, 562
苗栗縣, 136
臺中市, 874
彰化縣, 1913
南投縣, 112
嘉義市, 7
嘉義縣, 184
雲林縣, 156
臺南市, 580
高雄市, 307
屏東縣, 253
臺東縣, 22
花蓮縣, 103
金門縣, 0
連江縣, 0
澎湖縣, 0
