city, report_records
基隆市, 0
臺北市, 0
新北市, 162
宜蘭縣, 177
新竹市, 34
新竹縣, 385
桃園市, 764
苗栗縣, 206
臺中市, 1085
彰化縣, 2454
南投縣, 158
嘉義市, 7
嘉義縣, 234
雲林縣, 226
臺南市, 837
高雄市, 401
屏東縣, 338
臺東縣, 24
花蓮縣, 114
金門縣, 1
連江縣, 0
澎湖縣, 0
