city, report_records
基隆市, 0
臺北市, 0
新北市, 53
宜蘭縣, 6
新竹市, 4
新竹縣, 87
桃園市, 153
苗栗縣, 45
臺中市, 242
彰化縣, 296
南投縣, 23
嘉義市, 0
嘉義縣, 63
雲林縣, 8
臺南市, 181
高雄市, 58
屏東縣, 79
臺東縣, 10
花蓮縣, 83
金門縣, 0
連江縣, 0
澎湖縣, 0
