city, report_records
基隆市, 0
臺北市, 0
新北市, 135
宜蘭縣, 171
新竹市, 28
新竹縣, 295
桃園市, 622
苗栗縣, 151
臺中市, 977
彰化縣, 2057
南投縣, 130
嘉義市, 7
嘉義縣, 207
雲林縣, 185
臺南市, 677
高雄市, 333
屏東縣, 294
臺東縣, 22
花蓮縣, 107
金門縣, 0
連江縣, 0
澎湖縣, 0
